2.05	22.015	1.05	4.015	5	1	154.621	158.145	219.406	227.683	379.9275
5.150	16.1	1.15	9.109	15.8	2.1	398.163	173.368	192.651	190.123	477.1525
8.2	10.125	1.192	14.125	22.5	2.5	587.411	271.084	187.691	183.576	614.881
11.25	4.175	1.25	19.175	28.7	3.51	767.197	383.567	78.793	174.789	702.173
14.325	1.2	4.325	24.198	34.5	4.2	966.547	493.813	79.497	154.316	847.0865
17.35	0.25	8.35	29.251	39	5.02	1153.789	601.378	177.082	132.817	1032.533
20.49	5.4	12.411	34.495	46.7	8.2	1210.926	855.579	267.758	257.425	1295.844
23.698	10.5	16.505	28.498	53.8	10.1	1851.381	960.432	371.956	289.519	1736.644
26.900	15.7	20.61	22.598	65	12.8	1987.364	1176.283	491.123	321.374	1988.072
29.45	20.7	24.695	16.699	82	14.4	2536.123	1293.657	512.859	549.173	2445.906
32.75	25.75	21.75	9.748	95.4	16.7	2292.341	1578.624	653.717	784.136	2654.409
28.8	30.775	18.804	4.775	102.8	18.5	1988.324	2354.324	717.965	879.152	2969.8825
24.95	35.8	15.85	2.798	117	21.3	1326.939	3478.926	955.912	901.239	3331.508
20.84	40.85	12.05	7.85	129.78	25.7	857.128	4588.675	1169.359	1225.482	3920.322
16.91	34.855	9.91	13.855	99	29.9	605.327	5499.367	1292.924	1340.976	4369.297
10.925	22.865	5.925	19.865	85.5	32.5	458.386	6468.567	1318.549	1875.846	5060.674
4.929	16.885	1.011	25.875	71.9	28.7	218.859	7353.932	1257.354	1916.124	5373.1345
2.933	4.915	5.933	31.899	57.5	24.2	195.737	9335.124	984.167	863.928	5689.478
1.935	8.95	10.935	37.951	43.58	19.1	106.168	11261.946	716.375	703.153	6393.821
3.95	16.975	16.95	42.975	29.4	19.7	185.761	12151.387	541.326	631.195	6754.8345
9.81	20.995	22.95	35.015	15.5	21	790.639	13910.519	475.651	571.588	7874.1985
12.75	24.975	28.108	27.975	12.5	23.56	1323.784	15485.142	244.856	436.847	8745.3145
15.15	28.95	34.251	19.95	9.8	25.3	1831.438	17688.125	448.314	341.842	10154.8595
18.2	32.9	38.204	12.915	6.5	28.7	2321.321	19883.435	644.716	239.425	11544.4485
21.45	36.875	34.248	6.875	4.4	31.56	2891.845	14972.834	829.942	122.147	9408.384
24.325	40.865	28.325	1.865	2.5	37.1	3308.614	9080.562	949.316	95.954	6717.223
27.35	46.855	23.351	5.855	1.3	34.7	3529.956	7887.987	1148.231	150.492	6358.333
30.4	52.85	18.408	9.85	4.7	26.2	4730.129	5688.951	1347.987	254.897	6010.982
34.5	47.775	13.495	14.775	11.2	23.7	5917.152	3455.494	1542.967	458.289	5686.951
29.6	42.75	8.607	19.75	14.7	20.36	8678.654	1211.209	1732.856	672.164	6147.4415
24.7	37.71	3.697	25.697	17.8	17.7	9212.145	996.197	1915.632	853.356	6488.665
19.75	32.603	1.75	31.605	20.1	13.34	12886.243	677.325	1493.135	427.168	7741.9355
14.8	27.495	2.798	37.495	40.52	11.72	12362.345	364.615	1177.824	206.123	7055.4535
9.85	22.394	5.85	44.415	65.2	9.9	10632.879	152.534	963.453	182.659	5965.7625
4.907	17.245	8.913	36.255	80.76	7.74	9267.156	45.178	779.167	93.834	5092.6675
1.91	12.192	12.91	28.205	91.1	6.36	7070.531	36.176	580.836	71.345	3879.444
6.925	7.175	17.925	19.175	109.5	5.7	4984.243	20.364	287.192	66.841	2679.32
12.929	2.125	22.929	9.125	122.9	4.75	2881.956	10.428	185.834	93.952	1586.085
18.01	1.105	27.933	3.091	128.3	3.65	1616.829	8.475	301.985	109.463	1018.376
24.935	3.01	21.935	1.985	94.5	3.52	973.329	16.924	528.591	233.415	876.1295
